tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
665,2018-03-27 20:47:13.654,2018-03-27 20:58:18.951,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,3314,W 95 St & Broadway,40.7937704,-73.971888,27031,Subscriber,1996,male,""
1752,2018-05-28 18:06:15.105,2018-05-28 18:35:27.290,513,W 56 St & 10 Ave,40.768254,-73.988639,3328,W 100 St & Manhattan Ave,40.795,-73.9645,33058,Subscriber,1947,male,""
655,2013-10-16 14:12:54,2013-10-16 14:23:49,312,Allen St & E Houston St,40.722055,-73.989111,296,Division St & Bowery,40.71413089,-73.9970468,15112,Subscriber,1946,male,""
933,2016-06-15 22:07:39,2016-06-15 22:23:13,349,Rivington St & Ridge St,40.71850211,-73.98329859,473,Rivington St & Chrystie St,40.72110063,-73.9919254,16734,Subscriber,1998,male,""
1715,2016-07-03 19:35:26,2016-07-03 20:04:01,394,E 9 St & Avenue C,40.72521311,-73.97768752,296,Division St & Bowery,40.71413089,-73.9970468,24092,Subscriber,1997,male,""
253,2017-10-31 10:51:18,2017-10-31 10:55:31,335,Washington Pl & Broadway,40.72903917,-73.99404649,297,E 15 St & 3 Ave,40.734232,-73.986923,15921,Subscriber,1998,male,""
925,2015-04-05 17:03:14,2015-04-05 17:18:39,404,9 Ave & W 14 St,40.7405826,-74.00550867,525,W 34 St & 11 Ave,40.75594159,-74.0021163,20879,Subscriber,1947,male,""
257,2017-10-18 12:50:02,2017-10-18 12:54:20,483,E 12 St & 3 Ave,40.73223272,-73.98889957,335,Washington Pl & Broadway,40.72903917,-73.99404649,30560,Subscriber,1999,male,""
414,2016-06-20 16:22:18,2016-06-20 16:29:12,307,Canal St & Rutgers St,40.71427487,-73.98990025,408,Market St & Cherry St,40.71076228,-73.99400398,24089,Subscriber,1946,male,""
1583,2014-08-30 20:56:50,2014-08-30 21:23:13,382,University Pl & E 14 St,40.73492695,-73.99200509,3002,South End Ave & Liberty St,40.711512,-74.015756,14892,Subscriber,1952,male,""
406,2015-12-28 18:18:49,2015-12-28 18:25:36,316,Fulton St & William St,40.70955958,-74.00653609,3002,South End Ave & Liberty St,40.711512,-74.015756,24249,Subscriber,1998,male,""
390,2017-06-16 15:12:06,2017-06-16 15:18:36,3226,W 82 St & Central Park West,40.78275,-73.97137,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,25629,Subscriber,1999,male,""
499,2016-03-10 07:41:54,2016-03-10 07:50:14,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17766,Subscriber,1952,male,""
94,2016-07-30 13:30:54,2016-07-30 13:32:28,3002,South End Ave & Liberty St,40.711512,-74.015756,3002,South End Ave & Liberty St,40.711512,-74.015756,25247,Subscriber,1952,male,""
589,2018-04-26 19:57:52.524,2018-04-26 20:07:41.932,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,25849,Subscriber,1997,male,""
228,2016-09-13 22:00:56,2016-09-13 22:04:44,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,22047,Subscriber,1996,male,""
222,2017-11-10 17:36:53,2017-11-10 17:40:35,387,Centre St & Chambers St,40.71273266,-74.0046073,3461,Murray St & Greenwich St,40.714851505262516,-74.011223316192627,31430,Subscriber,2000,male,""
1568,2014-11-14 22:17:57,2014-11-14 22:44:05,2010,Grand St & Greene St,40.72165481,-74.00234737,486,Broadway & W 29 St,40.7462009,-73.98855723,15904,Subscriber,1942,male,""
289,2015-08-31 14:04:55,2015-08-31 14:09:45,3104,Kent Ave & N 7 St,40.72057658,-73.96150225,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,22805,Subscriber,1950,female,""
355,2018-04-20 13:51:41.218,2018-04-20 13:57:36.380,3361,Carroll St & 6 Ave,40.6740886,-73.9787282,3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,32602,Subscriber,1950,female,""
